approach,nx,ny,dofs,num_cells,iterations,residual,metadata,time_total,time_total_repeats,time_SNESSolve,time_MatAssemblyEnd,time_PCApply,time_PCSetUp,time_KSPSolve,time_SNESFunctionEval,time_MatMult,time_SNESJacobianEval,time_MatAssemblyBegin,flops_SNESSolve,mflops_SNESSolve,flops_MatAssemblyEnd,mflops_MatAssemblyEnd,flops_PCApply,mflops_PCApply,flops_PCSetUp,mflops_PCSetUp,flops_KSPSolve,mflops_KSPSolve,flops_SNESFunctionEval,mflops_SNESFunctionEval,flops_MatMult,mflops_MatMult,flops_SNESJacobianEval,mflops_SNESJacobianEval,flops_MatAssemblyBegin,mflops_MatAssemblyBegin,flops_total,mem_rss_peak_kb,mem_rss_delta_kb
GMRES,64,64,8450,4096,3307,0.0027198958163017458,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.6182623100000001,3.0913115500000004,2.9679033490000393,0.0007455000001641565,0.058413000999792075,1.2000000424450263e-06,2.896008848000008,0.02534339999999702,1.8268034320016113,0.04621460100003105,1.0500000087176886e-05,14398521530.0,4851.4118678599225,0.0,0.0,0.0,0.0,0.0,0.0,14326981590.0,4947.147036478929,22937600.0,905.0719319429397,4946825070.0,2707.9131686214378,48517840.0,1049.837907287513,0.0,0.0,33743783630.0,355756.0,0.0
GMRES + ILU PC,64,64,8450,4096,42,0.13069543782638185,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.05187114079999446,0.2593557039999723,0.1418223030000263,0.0007687999998893247,0.03149160100053905,0.0066304000000059204,0.06964040200000454,0.022250600000063514,0.023860200999763492,0.043039800999906674,1.1600000050293602e-05,306204780.0,2159.073527384076,0.0,0.0,63699240.0,2022.7374276369642,7570505.0,1141.7870716688647,227094335.0,3260.956692926402,22937600.0,1030.8755718917478,62251530.0,2609.0111311558967,48517840.0,1127.2784462945172,0.0,0.0,738275830.0,355756.0,0.0
Scale-Splitting GMRES,64,64,8450,4096,4,0.09061734445946354,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.13501762220003002,0.6750881110001501,0.5475311090000332,0.0014692000002582972,0.09253870200001302,0.27765800499997795,0.09984380200000942,0.021189300999935767,0.00393180000008897,0.04734130000014147,1.319999995530452e-05,130465225.0,238.2791093610575,0.0,0.0,27523650.0,297.4285288764492,19005440.0,68.44909801898746,36060665.0,361.17079155295585,22937600.0,1082.5085735517907,7547665.0,1919.6462179737548,48517840.0,1024.8522959837396,0.0,0.0,292058085.0,355756.0,0.0
Scale-Splitting GMRES + ILU PC,64,64,8450,4096,4,0.09061739559339986,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.15403576259996044,0.7701788129998022,0.6432860099999402,0.001539299999819832,0.18156700300011153,0.38520780699997204,0.18598100299999487,0.022742099999845777,0.05287200099940037,0.0455759000000171,1.300000019455183e-05,845101665.0,1313.726168240591,0.0,0.0,744572060.0,4100.8115334675795,19005440.0,49.33814853861822,753109075.0,4049.3871032624807,22937600.0,1008.5963917208854,141066365.0,2668.073126296087,48517840.0,1064.550343492543,0.0,0.0,2574310045.0,355756.0,0.0
Scaling-Splitting Picard with MUMPS,64,64,8450,4096,1673,0.0027159377966506273,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",162.41788751900003,812.0894375950002,811.974161696,0.0006737000002203786,0.0,0.0,0.0,15.46159870100041,0.0,0.0,3.7999989217496477e-06,1970231100950.0,2426.4701931336167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37780439040.0,2443.50146259814,0.0,0.0,0.0,0.0,0.0,0.0,2008011539990.0,355756.0,0.0
GMRES,128,128,33282,16384,11765,0.003870659917179086,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",13.193124901400006,65.96562450700003,65.68611400199961,0.004119401000707512,1.5070657010201103,7.999997251317836e-07,65.5015766009999,0.03912300000001778,39.876008010997566,0.14469360100019912,2.349999954276427e-05,201930482805.0,3074.1730710215684,0.0,0.0,0.0,0.0,0.0,0.0,201644207505.0,3078.463419793805,91750400.0,2345.1780282687496,70055806630.0,1756.84102106407,194192080.0,1342.091693465648,0.0,0.0,473916439420.0,360972.0,5216.0
GMRES + ILU PC,128,128,33282,16384,74,0.18502201204859153,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.21769764559994656,1.0884882279997328,0.8801233219996902,0.002878100000998529,0.29644600799974796,0.027587399999902118,0.7003667179999411,0.03499400099963168,0.24213530699944386,0.11651660300026379,1.5800000028320937e-05,1952686285.0,2218.650768807473,0.0,0.0,443719430.0,1496.7967792650365,31069385.0,1126.216497390484,1635341600.0,2334.9790302287574,91750400.0,2621.8893918693575,437956840.0,1808.7277127288419,194192080.0,1666.6472845896508,0.0,0.0,4786716020.0,394892.0,12800.0
Scale-Splitting GMRES,128,128,33282,16384,4,0.18318999896295488,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.3937414902000455,1.9687074510002276,1.7591697459999978,0.006903401000727172,0.36359711099999004,0.3712583110000196,0.389372111000057,0.03111530300020604,0.014656499999773587,0.12094150100028855,2.159999803552637e-05,534150675.0,303.6379384164333,0.0,0.0,117890450.0,324.2337368296725,76021760.0,204.767833466753,151757385.0,389.74898487266796,91750400.0,2948.722691191291,30045585.0,2049.983625044461,194192080.0,1605.6695046271725,0.0,0.0,1195808335.0,491148.0,60928.0
Scale-Splitting GMRES + ILU PC,128,128,33282,16384,4,0.18319361260375777,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.6060646752000138,3.0303233760000694,2.8235384709998925,0.006364500000245243,2.1845121570001993,0.45319120899966947,2.201688957000215,0.033191799999940486,0.6359327139887228,0.12297420499999134,1.9300000985822408e-05,8205816730.0,2906.2174340036863,0.0,0.0,7803728085.0,3572.2978514874376,76021760.0,167.7476493151822,7837595020.0,3559.8102970360837,91750400.0,2764.249001264304,1380124010.0,2170.235906474335,194192080.0,1579.1285660274336,0.0,0.0,25589228085.0,497036.0,0.0
Scaling-Splitting Picard with MUMPS,128,128,33282,16384,5135,0.0038716982706887264,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",969.691437373,4848.457186865,4848.2480321329995,0.0028263060007702734,0.0,0.0,0.0,88.31008298097277,0.0,0.0,8.799997431196971e-06,24947361377520.0,5145.644614750526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463656714240.0,5250.325881132952,0.0,0.0,0.0,0.0,0.0,0.0,25411018091760.0,497036.0,0.0
